,Latitude,Diameter,CraterID,Depth,Volume
0,84.367,82.1,01-000000,0.22,582.0344034999999
1,72.76,82.02,01-000001,1.97,5201.701387290001
2,69.244,79.63,01-000002,0.09,223.9935959925
3,70.107,74.81,01-000003,0.13,285.56325450250006
4,77.99600000000001,73.53,01-000004,0.11,233.43258435750002
5,68.547,72.66,01-000005,0.19,393.71689287
6,69.492,70.11,01-000006,0.1,192.92992492500002
7,78.71600000000001,63.57,01-000007,0.05,79.30746866250001
8,75.539,58.4,01-000008,0.11,147.25092800000002
10,77.707,52.37,01-000010,0.07,75.3533993275
11,70.319,51.31,01-000011,0.13,134.33433900250003
12,77.17,51.08,01-000012,1.74,1781.93019288
13,72.26,49.78,01-000013,0.16,155.62143952000002
14,65.60300000000001,49.43,01-000014,0.14,134.260703255
15,84.68700000000001,48.84,01-000015,1.06,992.4230368800003
16,65.646,48.44,01-000016,0.09,82.88776692
17,65.817,47.2,01-000017,0.04,34.977088
18,65.687,46.03,01-000018,0.16,133.05818452000003
19,72.956,45.85,01-000019,0.03,24.753669937500003
20,65.135,45.71,01-000020,1.86,1525.3694632050003
21,77.314,43.75,01-000021,0.08,60.1015625
22,81.925,43.57,01-000022,0.03,22.353011197500003
23,84.45200000000001,43.03,01-000023,0.49,356.10529659250005
24,72.729,40.9,01-000024,0.05,32.82889625000001
25,70.051,39.51,01-000025,2.08,1274.43313764
26,70.884,36.85,01-000026,1.98,1055.309470875
27,66.33,36.41,01-000027,1.9,988.6319005749999
28,70.173,36.28,01-000028,1.41,728.4392365200001
29,69.554,35.82,01-000029,0.04,20.144236680000002
30,65.589,35.66,01-000030,0.11,54.902867029999996
31,70.503,34.61,01-000031,0.14,65.82197289500002
32,72.7,33.69,01-000032,0.1,44.549381925
33,69.74,33.23,01-000033,0.1,43.341141324999995
34,76.891,32.95,01-000034,0.07,29.829676187500006
35,68.373,32.26,01-000035,0.1,40.8477733
36,74.05199999999999,32.14,01-000036,0.04,16.217779720000003
37,77.116,30.88,01-000037,0.71,265.73734592
38,73.774,30.16,01-000038,0.18,64.26504864
39,66.39399999999999,29.46,01-000039,1.77,602.9459918100001
40,73.90899999999999,28.45,01-000040,1.41,447.94357856249997
